项目,分类,分类2,年份函数,日期,月份函数,账户,金额
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月20日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥3.30
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年8月20日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥61.00
8.4-8.21安卓微信支出,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年8月22日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥183.97
早饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年8月22日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥53.60
浴袍,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年8月22日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥43.05
打车➕奶茶,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年8月16日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥106.22
过早买菜盒马,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年8月15日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥239.10
衣服,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年8月20日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥121.61
棉条,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年8月16日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥71.06
大悦城,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年8月18日,2026年08月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥117.78
转账爹妈,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月21日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),"¥2,000.00"
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月21日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥25.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月23日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥130.00
雪糕,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年8月23日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥80.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月24日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥125.00
